name,source_no,ra,dec
13CO,0,84.78349342967017,-69.09811922753087
13CO,1,84.70511531659696,-69.07844463773047
13CO,2,84.68316174715244,-69.06017134130653
13CO,3,84.69876100390911,-69.05244353135748
